574,3524,2993,2357,4276
12195,6030,8172,6752,8324
102,999,1978,4696,739
8077,5001,9078,2062,13698
8077,5001,9078,2062,13698
9271,12417,11170,13181,208
547,95,10636,12697,5171
4696,7752,10976,102,14492
2046,4929,97,6686,7430
4254,14429,2762,1022,11337
1978,7752,11361,1092,11441
5601,13857,3433,1907,8115
11927,2929,2695,11232,6658
5530,6789,4824,13366,8163
1206,5084,1230,9686,13749
7960,11449,13938,4584,12942
5957,11801,4304,11218,9438
11127,6898,13660,1251,4539
11441,14492,3168,10976,4696
11441,14492,3168,10976,4696
10191,7254,10668,9354,1577
4950,911,2002,126,12391
739,5406,7752,1978,3168
10863,7285,1989,5113,14107
10863,7285,1989,5113,14107
6108,10167,11355,4950,9091
3887,5604,2605,5008,5464
4500,3588,10520,91,10532
13589,9686,6182,3403,1541
5206,8323,1637,2314,6382
10223,2342,12674,12547,8630
11205,3871,4640,7356,9354
864,3687,1498,11622,8815
9060,13124,9919,14091,14
9060,13124,9919,14091,14
9155,4374,8181,5921,506
3794,3493,9058,6784,13302
3794,3493,9058,6784,13302
12225,3165,9624,8668,11966
1007,3595,10715,4145,760
999,14492,1978,10976,7752
11055,1109,1578,125,14098
5700,10018,13927,12635,2660
5325,12551,3137,13316,11602
5325,12551,3137,13316,11602
5957,12397,4676,11218,9060
13374,5692,7569,12416,4522
13946,13007,4009,11690,13151
1612,13522,9686,12804,894
12599,2867,9290,10474,7898
11968,13779,84,9174,8552
5878,10619,10291,6684,12434
4776,14082,5835,8917,6790
6047,5340,13182,6846,1839
9281,6389,3417,8108,3616
3795,6830,2771,9686,7420
8145,14482,8359,9530,2588
6084,7911,11286,13327,7245
9582,6221,10926,2435,12302
6256,8909,386,8445,6690
2024,506,13634,8181,1309
7055,11771,8237,12032,2795
4475,13290,10367,10583,4379
2058,11077,12663,8517,7251
3886,44,1566,5113,10628
9060,1242,10123,5387,2892
3082,5308,13498,13175,2415
6442,13501,3540,9925,1838
864,3687,6368,4684,6003
9155,4374,5921,14388,7528
5350,6784,4871,9058,1470
13296,5972,2186,6205,2854
9709,11095,11701,12573,12350
11441,102,7752,10976,739
11780,2891,7705,11965,11093
11780,2891,7705,11965,11093
4241,5926,1117,1093,8910
698,7138,7378,6802,3610
8500,11966,7204,8668,4407
6922,6379,2058,8528,14474
13652,6163,4131,5997,11146
9996,5885,11212,232,6173
4522,7569,12416,1309,1625
6176,11166,13812,8019,11668
5803,7089,6289,5419,13966
12416,4522,5692,7569,1625
8249,12106,12059,6238,3449
5835,1110,11308,1481,13808
1794,9449,4894,7526,88
5704,5607,13742,3550,4399
9630,2266,13815,10250,11973
6838,6293,5476,9650,7944
3561,8162,1761,853,1214
9265,4999,14465,5248,11090
8916,3516,2109,8800,1509
8916,3516,2109,8800,1509
5530,6789,4824,13366,11789
911,4950,2002,10558,11895
528,11753,6426,12497,14247
5617,1242,3003,10123,2892
3082,13175,13498,8851,2415
13527,8590,7992,9184,195
7752,11361,1978,14492,13667
5562,7182,12284,568,8312
12622,4887,2439,7193,4985
11908,7581,7657,3038,3211
13998,7526,88,6212,10520
225,14028,11242,8249,12106
9183,12252,4894,9613,10520
4474,8072,12426,8868,4780
5957,14254,4193,7007,4390
3082,13175,13498,2415,5308
12192,10078,6007,12989,1983
8798,1629,14320,8243,3546
6084,7911,14093,14271,10736
12547,8630,2342,10223,7670
7526,8860,88,14375,2771
5934,763,12975,4184,11496
3665,3726,306,13187,11672
4605,6469,5974,9518,5165
7526,5558,4894,88,2771
1899,4009,13151,13946,11690
12618,7151,9637,926,5258
4465,2330,4082,10277,3407
4894,5916,1794,7526,88
9236,8318,2141,1365,245
1127,2639,13505,9657,13059
528,811,4196,2808,3138
2117,1180,5119,9064,10406
6545,11847,12123,8172,10788
6545,11847,12123,8172,10788
249,8818,3795,9686,6771
7526,8115,88,2771,1266
12416,7569,5692,4522,9978
3273,2382,1028,3450,3070
12400,10233,13126,13326,13456
1271,7613,1691,10646,4715
3542,3690,9285,3610,117
12503,1230,5625,9686,5139
6379,6922,2465,3896,8528
4696,1978,999,102,11680
8103,14388,2024,8181,9155
460,3782,6469,5165,9518
14375,14492,1978,10532,13667
13498,3082,4136,2415,5308
12299,12236,10439,7288,6754
13402,3166,3871,9354,7254
7047,1230,9686,5184,13909
11441,12758,4812,2771,10976
11441,12758,4812,2771,10976
3419,7454,12301,3217,12185
12099,12511,1531,3663,7970
1343,7252,12230,9364,9649
11127,11292,3356,4871,1416
11127,11292,3356,4871,1416
5047,2008,11683,7401,3550
12416,5692,4522,9978,7569
13212,10729,12321,1560,10411
1577,13402,4966,3431,9397
8957,7878,1309,13634,13647
10765,2316,10228,12203,3271
3871,13844,13402,7356,4966
9686,2134,12737,6651,2066
